filename,class_name,context_name,caption
2361300.jpg,cat,bookshelf,a woman sitting on a couch in a living room
2319260.jpg,cat,bookshelf,a living room filled with furniture and appliances
2398639.jpg,cat,bookshelf,a black cat sitting on top of books on a shelf
2395193.jpg,cat,bookshelf,a cat laying on top of a table
2399526.jpg,cat,bookshelf,a cat laying on top of a blanket on a bed
2364074.jpg,cat,bookshelf,a cat laying on top of a bed next to another cat
2324064.jpg,cat,bookshelf,a cat sitting on top of a bookshelf
2364431.jpg,cat,bookshelf,a cat sitting on top of a couch in a living room
2343780.jpg,cat,bookshelf,a dog laying on the floor next to a television
2382390.jpg,cat,bookshelf,two cats standing on top of a wooden desk
2392699.jpg,cat,bookshelf,a cat that is sitting in a suitcase
2355400.jpg,cat,bookshelf,a black cat sitting on top of a bookshelf
2387323.jpg,cat,bookshelf,a cat sitting on the floor next to a television
2389179.jpg,cat,bookshelf,a cat standing on top of a book shelf
2340179.jpg,cat,bookshelf,a cat that is sitting on a chair
2339912.jpg,cat,bookshelf,a man is petting a black and white cat
2408383.jpg,cat,bookshelf,a dog sitting on a bed next to a cat
2406766.jpg,cat,bookshelf,a cat sitting on top of a television in a living room
713492.jpg,cat,bookshelf,a living room filled with furniture and a fire place
2356497.jpg,cat,bookshelf,a cat sitting on the floor in front of a television
2363570.jpg,cat,bookshelf,a black cat laying on top of a laptop computer
2410796.jpg,cat,bookshelf,a stove top oven with pots and pans on top of it
2357484.jpg,cat,bookshelf,a black cat laying on top of a laptop computer
2356120.jpg,cat,bookshelf,a cat sitting on top of a bookshelf in a living room
2376838.jpg,cat,bookshelf,a suitcase filled with clothes sitting on top of a bed
2405710.jpg,cat,bookshelf,a cat laying on a shelf in a bathroom
2416463.jpg,cat,bookshelf,a black dog laying on top of a laptop computer
2417434.jpg,cat,bookshelf,a dog sitting on a couch in a living room
2329487.jpg,cat,bookshelf,a dresser with a mirror on top of it
2318872.jpg,cat,bookshelf,a dog and a cat playing together in a parking lot
2395075.jpg,cat,bookshelf,a person standing in front of a tv playing a video game
2416400.jpg,cat,dog,a dog and a cat sitting on a surfboard
2346772.jpg,cat,dog,a cat sitting on a chair in front of a television
2344881.jpg,cat,dog,a cat sitting on a table next to a bottle of water
2317705.jpg,cat,dog,a dog laying on a blanket next to a sign
2359938.jpg,cat,dog,a collage of photos showing different types of food
2324062.jpg,cat,dog,a brown and white dog and a black and white cat
2392688.jpg,cat,dog,a cat sitting on top of a tv next to a television
2327653.jpg,cat,dog,a cat sitting on top of a tv screen
2394168.jpg,cat,dog,a dog laying on top of a bed in a room
2403329.jpg,cat,dog,a cat sitting on the floor looking at a tv
2402100.jpg,cat,dog,a cat standing on top of a bicycle
2397167.jpg,cat,dog,a woman sitting on a bed with a cat
2322897.jpg,cat,dog,a girl laying on the floor next to a dog
2355278.jpg,cat,dog,a cat sitting under an umbrella on the floor
2339137.jpg,cat,dog,a dog laying in the grass next to other dogs
2330184.jpg,cat,dog,a dog and a cat laying on a bed
2359073.jpg,cat,dog,a cat laying on the ground next to a dog
2316968.jpg,cat,dog,a cat laying on the floor next to a dog
2339511.jpg,cat,dog,a black and white dog and a black and white cat
2400368.jpg,cat,dog,a dog is looking out of a window
2336077.jpg,cat,dog,a black and white cat and a black and white dog
2387315.jpg,cat,dog,a dog and a cat laying on a bed
2391586.jpg,cat,dog,a white dog laying on top of a stone wall
2344063.jpg,cat,dog,a dog standing in the grass next to a tree
2377255.jpg,cat,dog,a cat standing on a kitchen counter next to a dog
2408383.jpg,cat,dog,a dog sitting on a bed next to a cat
2319449.jpg,cat,dog,a black and white cat sitting on a mirror
2324518.jpg,cat,dog,a dog and a cat are standing in a living room
2396989.jpg,cat,dog,two children laying on a couch with a dog
2367226.jpg,cat,dog,a dog laying on a blanket on the floor
2415206.jpg,cat,dog,a black dog laying on top of a bed
2365600.jpg,cat,dog,a man and a dog laying on a couch
2406003.jpg,cat,dog,a dog and a cat standing in a kitchen
2397277.jpg,cat,dog,a dog laying on the floor next to a couch
2320517.jpg,cat,dog,a cat laying on top of a woman's legs
2414023.jpg,cat,dog,a black and white cat and a brown and white dog
2368563.jpg,cat,dog,a black and white cat and a black and white dog
2382789.jpg,cat,dog,a cat that is laying down on the floor
2381433.jpg,cat,dog,a cat sitting on top of a red fire hydrant
2353191.jpg,cat,dog,a teddy bear sitting on top of a white plate
2416435.jpg,cat,dog,a cat sitting on top of a table next to an orange
2374046.jpg,cat,dog,a cat and a dog laying on a bed
